,id,company_id,experience_level,last_published_at,closed_at
5483,5525,1579,3.0,2018-05-28 16:47:14.166 UTC,2018-11-29 11:37:13.12 UTC
5484,6009,1579,2.0,2018-07-30 10:32:08.892 UTC,2018-11-12 09:24:57.008 UTC
5485,5523,2498,3.0,2018-05-25 15:04:27.687 UTC,2019-01-29 10:39:03.191 UTC
5486,7437,1579,2.0,,
5487,5292,1659,2.0,,
5488,5291,1659,2.0,2018-04-17 19:03:34.172 UTC,2018-09-28 11:17:24.435 UTC
5489,7405,2927,2.0,2019-01-04 09:31:56.799 UTC,2019-01-14 09:37:31.419 UTC
5490,7406,2927,2.0,,
5491,5718,1659,2.0,2018-06-26 08:32:54.981 UTC,2018-09-17 15:44:37.985 UTC
5492,7383,2927,3.0,2018-12-20 14:25:03.52 UTC,2019-01-14 09:37:28.189 UTC
5493,4864,2275,3.0,2018-03-21 18:33:09.61 UTC,2018-05-30 12:17:34.852 UTC
5494,4863,2275,2.0,2018-03-21 18:31:57.133 UTC,2018-07-20 13:31:34.659 UTC
5495,5535,2481,3.0,2018-05-29 16:45:34.566 UTC,2019-01-29 10:34:55.15 UTC
5496,6027,2481,2.0,2018-08-09 10:33:59.031 UTC,2019-01-29 10:34:34.685 UTC
5497,5511,2481,3.0,2018-05-22 09:12:44.001 UTC,2019-01-29 10:34:24.842 UTC
5498,5509,2481,3.0,2018-05-22 09:12:59.926 UTC,2018-09-25 08:20:07.629 UTC
5499,5510,2481,3.0,2018-05-22 09:12:50.667 UTC,2018-09-25 08:20:01.102 UTC
5500,4024,1514,4.0,,
5501,4015,1514,3.0,,
5502,4283,2050,2.0,2017-10-27 16:01:21.85 UTC,2018-02-07 14:33:32.132 UTC
5503,6008,2050,2.0,2018-07-30 10:24:26.781 UTC,2018-12-28 02:00:37.078 UTC
5504,3744,1830,3.0,2017-06-05 11:30:40.463 UTC,2017-08-29 15:34:41.471 UTC
5505,3725,1830,2.0,2017-05-30 15:05:48.261 UTC,2017-08-29 15:36:28.481 UTC
5506,3727,1830,2.0,2017-05-30 15:05:42.103 UTC,2017-08-29 15:36:46.994 UTC
5507,3720,1830,2.0,2017-05-30 12:00:43.741 UTC,2017-09-06 00:00:14.783 UTC
5508,3746,1830,3.0,2017-06-05 11:30:45.442 UTC,2017-08-29 15:35:12.265 UTC
5509,3726,1830,2.0,2017-05-30 15:05:45.4 UTC,2017-08-29 15:36:59.174 UTC
5510,3766,1830,2.0,2017-06-19 10:40:03.759 UTC,2017-09-17 00:00:10.53 UTC
5511,3743,1830,3.0,2017-06-01 16:20:57.933 UTC,2017-08-29 15:34:51.167 UTC
5512,3745,1830,3.0,2017-06-05 11:30:33.21 UTC,2017-08-29 15:34:29.703 UTC
5513,3856,1900,3.0,2017-07-03 10:52:41.962 UTC,2017-09-02 08:00:15.323 UTC
